created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 16 12:45:21 +0000 2023;1713898926133387758;"@FirstMediaCares belom fiber optik ya? Mau upgrade tapi pelanggan lama jadi kena dampak ga stabil layanan? Tanpa kompensasi pula? Kalo @BiznetHome udah fiber optik belom? Kalo dijamin aman ga gangguan mulu bikin kesel tiap bulan mending pindah. Gimana? https://t.co/z4bWQf0Ykk";0;1;0;0;in;981799935703105536;1713898926133387758;petomato;https://twitter.com/petomato/status/1713898926133387758
Mon Oct 16 12:36:43 +0000 2023;1713896752125018587;"@alghie_3288 @FirstMediaCares @DivHumas_Polri Emange rese provider yg satu ini. SABTU KEMAREN 14 OKTOBER GANGGUAN DAN SENEN 16 OKTOBER UDAH GANGGUAN LAGI AJA. BULAN LALU 24 SEPT GANGGUAN DATENG TEKNISI JG PERCUMA. TAGIHAN GA DISESUAIKAN. TIAP BULAN GANGGUAN MULU. Konsumen rugi terus @YLKI_ID @BPKN_RI @MediaKonsumenID https://t.co/EkonRzcZVm";0;1;0;0;in;981799935703105536;1713884330358186125;petomato;https://twitter.com/petomato/status/1713896752125018587
Mon Oct 16 12:28:21 +0000 2023;1713894649184878952;"@FirstMediaCares mohon bantuan cancel visit teknisi utk pelanggan id :11522399. Problem solved. Terima kasih";0;0;0;0;in;1664590039505043456;1713894649184878952;sweetiepie23300;https://twitter.com/sweetiepie23300/status/1713894649184878952
Mon Oct 16 12:27:49 +0000 2023;1713894513801126271;"Ini wifi @FirstMediaCares emang gini apa gimanaa si, gangguan terus setiap kali sehabis bayar bulanan, teknisi setiap ditanya ga ngasih jalan keluar";0;0;0;0;in;1478800828005711877;1713894513801126271;rainyymilky;https://twitter.com/rainyymilky/status/1713894513801126271
Mon Oct 16 12:19:28 +0000 2023;1713892412094058994;"@FirstMediaCares min mohon ditindaklanjuti dong ID pelanggan 12469379 teknisi tidak kunjung datang padahal dari kemarin sudah pengaduan via aplikasi first media dan katanya sudah menghubungi team terkait.. dan saya sudah menghubungi area juga. https://t.co/lqDCM7VBdN";0;0;0;0;in;1091275782;1713892412094058994;laluwidh;https://twitter.com/laluwidh/status/1713892412094058994
Mon Oct 16 12:02:56 +0000 2023;1713888253101969664;"@alghie_3288 @DivHumas_Polri Selamat malam First People. Mohon infokan 8 digit no pelanggan via DM ya agar kami dapat membantu kendalanya. Tks ^RFS";0;1;0;0;in;155787551;1713884330358186125;FirstMediaCares;https://twitter.com/FirstMediaCares/status/1713888253101969664
Mon Oct 16 11:57:47 +0000 2023;1713886955090714896;"@KoyaDaddy @FirstMediaCares 300+++++ viiii, dari yang biasanya aku pake 160an, akhirnya aku putus itu firstmedia";0;1;0;0;in;53052808;1713882462475133186;destiaptr_;https://twitter.com/destiaptr_/status/1713886955090714896
Mon Oct 16 11:53:49 +0000 2023;1713885956405940420;"@destiaptr_ @FirstMediaCares Di suruh apgret jd brp des?";0;1;0;0;in;1014863652707446784;1713882462475133186;KoyaDaddy;https://twitter.com/KoyaDaddy/status/1713885956405940420
Mon Oct 16 11:53:03 +0000 2023;1713885763853824309;"@FirstMediaCares min lagi gangguan ya wilayah serdang kemayoran?";0;0;0;0;in;1324914071645270019;1713885763853824309;alisahilwaa;https://twitter.com/alisahilwaa/status/1713885763853824309
Mon Oct 16 11:51:32 +0000 2023;1713885382994239510;"@KoyaDaddy @FirstMediaCares vhiiii ini kasusnya sama kaya aku kemaren, disuruh ganti adapter sama upgrade paket sm mbps nya";0;1;0;0;in;53052808;1713882462475133186;destiaptr_;https://twitter.com/destiaptr_/status/1713885382994239510
Mon Oct 16 11:49:46 +0000 2023;1713884939995992291;"@FirstMediaCares min mohon ditindaklanjuti dong ID pelanggan 12469379 teknisi tidak kunjung datang padahal dari kemarin sudah pengaduan via aplikasi first media dan katanya sudah menghubungi team terkait..";0;0;0;0;in;1091275782;1713884939995992291;laluwidh;https://twitter.com/laluwidh/status/1713884939995992291
Mon Oct 16 11:48:10 +0000 2023;1713884535178576096;"@FirstMediaCares min, id 12470682 sudah bayar tagihan, tetapi wifi belum juga bisa. Mohon solusinya. Wifi ingin dipakai keperluan 🙏";0;0;0;0;in;1682081916944781312;1713884535178576096;FajarAbror1999;https://twitter.com/FajarAbror1999/status/1713884535178576096
