"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sat Nov 25 05:30:22 +0000 2023","1728284973986369553","Rekomendasi Sepatu Running Murah Di Kantong!  Wajib cek disini🌟 Save Aja Dulu  CO nya Belakangan!  -A thread-  Tag: #zonauang Rebecca Prof. Dr. Petrus R. Golose Jungpal FIFA #SongKang Mendung Hari Sabtu Papua Firli Nanami YOASOBI https://t.co/q1g9YphBe8","1","1","1","2","in","1546761619102789632","1728284973986369553","Skyr2023","https://twitter.com/Skyr2023/status/1728284973986369553","https://pbs.twimg.com/media/F_waAYmbQAA1wAi.jpg",""
"Tue Nov 28 15:27:50 +0000 2023","1729522494091178088","TIKET YOASOBI MAHAL BGT TOLONG🙏🏻🙂","0","0","0","0","in","249653525","1729522494091178088","dhytss","https://twitter.com/dhytss/status/1729522494091178088","","Jakarta Capital Region, Indonesia"
"Wed Nov 29 03:49:48 +0000 2023","1729709215533457685","tiketnya yoasobi murah baget anjrittttr","0","0","0","0","in","1673152229753376768","1729709215533457685","catofication","https://twitter.com/catofication/status/1729709215533457685","",""
"Tue Nov 28 13:33:08 +0000 2023","1729493628689805573","Mahal maknat tiket Yoasobi🤣🤣","0","0","0","0","in","467489962","1729493628689805573","radhiozil","https://twitter.com/radhiozil/status/1729493628689805573","","Johor"
"Tue Nov 28 13:25:51 +0000 2023","1729491798018674820","@Rikkayuki1 Murah untuk seukuran Yoasobi  tapi ya tetep aj MAHAAALLLL BAGI KITA 😭😭😭","0","1","0","1","in","1650923703147044866","1729487824909701235","nyonyaakashi","https://twitter.com/nyonyaakashi/status/1729491798018674820","","sweet escape 💙"
"Wed Nov 29 04:35:18 +0000 2023","1729720665698144505","anjir tp bener loh gw kmrn liat yoasobi kek ko murah bgt bjirr beda sm idol kpop yg mahal bgt itu 😭😭","0","1","0","0","in","914352630838824960","1729720665698144505","insyekurity","https://twitter.com/insyekurity/status/1729720665698144505","","ina"
"Wed Nov 29 03:35:42 +0000 2023","1729705670935535853","Murah asli dah buat yoasobi😭","0","0","0","0","in","1684623413330276352","1729705670935535853","oksitoshirin","https://twitter.com/oksitoshirin/status/1729705670935535853","","21+ || MDNI🔞 HOMOPHOBIC DNI🚫"
"Tue Nov 28 12:20:33 +0000 2023","1729475362470629581","@pentiljimin MURAH BFT BGT BGT BGT BUAT SEKELAS YOASOBI😭😭😭","0","1","0","0","in","1119048265834516480","1729471153402777937","vonpjm","https://twitter.com/vonpjm/status/1729475362470629581","","20★彡"
"Tue Nov 28 13:16:00 +0000 2023","1729489316571987990","Yoasobi murah ya anjir di satu sisi w seneng karena harganya ga kayak konser kpop gajelas tp di sisi lain WAR-NYA????? HALO GUA TAKUT","0","2","0","0","in","1447909376052789249","1729489316571987990","tokoyamied","https://twitter.com/tokoyamied/status/1729489316571987990","",""
"Tue Nov 28 13:28:56 +0000 2023","1729492572719161408","the yoasobi CAT1 ticket bener2 sumpah kok murah bgt ajg under 2 jt an","0","0","0","0","in","1693119693824126977","1729492572719161408","G4C0AN","https://twitter.com/G4C0AN/status/1729492572719161408","","Santiago Bernabeu "
"Wed Nov 29 05:08:04 +0000 2023","1729728911750168897","Hanya berharap gabanyak org yg jd fomoan beli tiket yoasobi cuma karena "murah banget" 😞","0","1","0","0","in","1056382544688513024","1729728911750168897","diamondlyfe_","https://twitter.com/diamondlyfe_/status/1729728911750168897","",""
"Wed Nov 29 03:02:46 +0000 2023","1729697382403571727","Tiket Yoasobi murah banget ya Lord.... Untung jauh.","0","1","0","0","in","1466632371759763456","1729697382403571727","alsorynbee","https://twitter.com/alsorynbee/status/1729697382403571727","",""
"Tue Nov 28 12:59:14 +0000 2023","1729485097492234630","MURAH BANGET FAK  2JT BISA KETEMU YOASOBI SKSKKSKSK","0","1","0","0","in","1327927220908638209","1729485097492234630","bangchandesu","https://twitter.com/bangchandesu/status/1729485097492234630","","Malang, Jawa Timur"
"Tue Nov 28 13:32:36 +0000 2023","1729493496275599762","KOK MURAH SIH YOASOBI jd pengen","0","1","0","0","in","396088613","1729493496275599762","softdragontofu","https://twitter.com/softdragontofu/status/1729493496275599762","","ID"
"Tue Nov 28 20:52:54 +0000 2023","1729604300270125546","yaAllah kirain tiket yoasobi bakalan mahal...TERNYATA😭 mana di istora mah dmn aja juga keliatan deh itu🥲 yaAllah knp aku bokek😔 https://t.co/ncdi9QXWTU","0","0","0","0","in","1398960926045347840","1729604300270125546","bbokiechan","https://twitter.com/bbokiechan/status/1729604300270125546","https://pbs.twimg.com/media/GADJ8YwaUAAXtHk.jpg","Stay st. | ♡221112 221113♡"
"Wed Nov 29 11:18:19 +0000 2023","1729822089639580114","sumpah tiket yoasobi murah banget damn tapi tetep aja aku gapunya uang buat beli wHHHYY","0","0","0","0","in","1358444409864425473","1729822089639580114","sohntusiast","https://twitter.com/sohntusiast/status/1729822089639580114","","୨୧ ( rant, DNFF ) %★"
"Wed Nov 29 16:43:57 +0000 2023","1729904036604973149","wkwk iya anjir pas liat yoasobi gue kaget ko murah 😂","0","0","0","0","in","432362559","1729904036604973149","taenkyuu","https://twitter.com/taenkyuu/status/1729904036604973149","",""
"Wed Nov 29 04:06:01 +0000 2023","1729713297526567079","Bjir tiket yoasobi murah bgt tapi mana mungkin gw boleh (gada duitnya juga sih skrg)","0","0","0","0","in","1705165003937247232","1729713297526567079","ccherrlie","https://twitter.com/ccherrlie/status/1729713297526567079","",""
"Tue Nov 28 23:41:29 +0000 2023","1729646725705482320","Iyaaaaaa krn emng biasa lihat harganya itu plg murah ya 1 5 paling mahal smpe 7-8jtan ya dikasih liat pl yoasobi harga agtu jls kaget buanget😭","0","0","0","0","in","254832870","1729646725705482320","averhocarambola","https://twitter.com/averhocarambola/status/1729646725705482320","",""
"Tue Nov 28 13:41:02 +0000 2023","1729495618442481932","tiket yoasobi untungnya murah sisa duit kan bisa buat beli merch 👍","0","0","0","0","in","580901894","1729495618442481932","al_avacadoo","https://twitter.com/al_avacadoo/status/1729495618442481932","",""
"Wed Nov 29 13:07:39 +0000 2023","1729849603946655802","eh tp gw liat harga tiket yoasobi tuh mahal bgt anjir wkwkwkwk APAKAH KITA SDH TDK AKAN MELIHAT HARGA TIKET UNDER 1 JUTA LAGI?????","0","0","0","0","in","890331914","1729849603946655802","xmungil","https://twitter.com/xmungil/status/1729849603946655802","","she/her"
"Tue Nov 28 13:03:10 +0000 2023","1729486090556543202","anjir  untuk sekelas yoasobi ini terbilang murah bgt coyy dan gua mau bgt tp tgl segitu pasti gua lagi ujian","0","0","0","0","in","1435155589861052417","1729486090556543202","jwinolx","https://twitter.com/jwinolx/status/1729486090556543202","","multistan"
"Mon Nov 27 07:40:00 +0000 2023","1729042373693554712","tmn : pen ntn yanusi tp mahal tiketnya me : yanusi siapa? tmn : itu yg dr jepang. mau konser di jkt me : yoasobi anyingg 😭","0","1","0","1","in","2178191341","1729042373693554712","alvinxal","https://twitter.com/alvinxal/status/1729042373693554712","","Bogor, Jawa Barat"
"Tue Nov 28 13:43:39 +0000 2023","1729496276369322402","Jadi kepikiran krn tiket yoasobi "murah" bagi orang2 warnya bakal gimanaa wkwkw🤣","0","0","1","0","in","891358728452100096","1729496276369322402","euphoriyaay","https://twitter.com/euphoriyaay/status/1729496276369322402","","+62"
"Tue Nov 28 13:02:23 +0000 2023","1729485890303758720","Gua gila asli baru coret cibin 1 5jt terus lupa yoasobi mau konser di ina FAK KATA GUA TEHHHH MANA TIKETNYA MURAH ASYUHHH😭😭😭😭😭","0","2","0","0","in","1341931407434608640","1729485890303758720","seobahngch","https://twitter.com/seobahngch/status/1729485890303758720","",""
"Wed Nov 29 02:39:37 +0000 2023","1729691555961663554","tiket yoasobi termasuk murah anj tpi tanggalnya jelek banget...","0","0","0","0","in","1361396472093110275","1729691555961663554","rindouruu","https://twitter.com/rindouruu/status/1729691555961663554","","anypron"
"Tue Nov 28 14:10:43 +0000 2023","1729503089864872271","kebiasa ngeliat tiket kpop pas liat yoasobi MURAH BGT","0","0","0","0","in","523838036","1729503089864872271","kimetshu","https://twitter.com/kimetshu/status/1729503089864872271","","i mark s'um w/ like."
"Tue Nov 28 12:19:09 +0000 2023","1729475010325278912","artis sebesar yoasobi.... murah tiket konsernya cuy... SEGEDE YOASOBI WKWKKWK gilasi kalo ada uang gw beli ya wak wkwkk","0","1","0","0","in","1465617836571709444","1729475010325278912","yevrin","https://twitter.com/yevrin/status/1729475010325278912","","order :"
